Instrument,Company Common Name,Date,ESG Score,Environmental Pillar Score,Social Pillar Score,Governance Pillar Score,ESG Score Grade,ESG Combined Score Grade,Environmental Pillar Score Grade,Social Pillar Score Grade,Governance Pillar Score Grade,Price Close,Earnings Per Share - Mean,P/E (Daily Time Series Ratio),Debt - Long-Term - Total,Company Market Cap,TRBC Economic Sector Name
AZN.L,,2018-12-31 00:00:00+00:00,94.3992923750862,91.2742579908676,96.7658954363186,93.154227459783,A+,A-,A,A+,A+,10988.0,8.14822,32.5059959430631,17.359,170.37402074132,
AZN.L,,2017-12-31 00:00:00+00:00,93.87126409953,91.4070777707141,96.7878817597957,91.3196110150425,A+,A+,A,A+,A,10754.0,8.14822,31.9635899678124,15.56,166.74574254206,
AZN.L,,2016-12-31 00:00:00+00:00,89.6914800626949,91.2926399443253,87.4975751782905,91.7959651156372,A,A,A,A,A+,10668.0,8.10222,31.9927323624958,14.501,165.41227277652,
AZN.L,,2015-12-31 00:00:00+00:00,87.0940502873892,91.5917077400511,85.460723153364,86.2366848168419,A,A-,A,A,A,10712.0,8.11309,32.2380799064084,14.137,166.09451312168,
AZN.L,,2014-12-31 00:00:00+00:00,87.0198125586831,90.6318699081857,83.7752027897363,89.2198595459742,A,A-,A,A,A,10594.0,8.11309,31.6358590570352,8.397,164.26486855966,
EDV.L,Endeavour Mining plc,2023-12-31 00:00:00+00:00,83.4550551335929,75.3020491054232,84.8809904212042,92.8040809414952,A,A-,A-,A,A+,1522.0,1.31158,,1.0878,3.74032139269394,Basic Materials
EDV.L,,2022-12-31 00:00:00+00:00,84.8652744083168,77.2807066098384,83.9401366953791,97.2526861712279,A,A-,A-,A,A+,1487.0,1.34242,,0.517,3.72673966096147,
EDV.L,,2021-12-31 00:00:00+00:00,82.7160903740865,77.9948752259364,87.1533420023784,82.2110030289566,A-,A-,A-,A,A-,1513.0,1.33908,,0.8786,3.69892203085337,
EDV.L,,2020-12-31 00:00:00+00:00,81.7079072737157,77.4631182770718,85.6401657972455,81.3475700331204,A-,A-,A-,A,A-,1485.0,1.33658,,0.7118,3.62830712733984,
EDV.L,,2019-12-31 00:00:00+00:00,60.3645233644999,54.4962074188037,55.5033484721686,76.742701737985,B,B,B-,B-,A-,1495.0,1.33658,,0.696383,3.66871361658718,
EDV.L,,2018-12-31 00:00:00+00:00,58.2027863455917,38.2252468711583,59.0538380810624,85.442480359147,B-,B-,C,B,A,1507.0,1.33658,,0.618595,3.67702953454474,
EDV.L,,2017-12-31 00:00:00+00:00,58.9213784912956,41.8270634645157,60.3287781911278,81.1166582993994,B,B,C+,B,A-,1485.0,1.33658,,0.323184,3.63243471847107,
EDV.L,,2016-12-31 00:00:00+00:00,28.0607373040631,5.68368233137123,18.8627118644068,75.209057791025,C-,C-,D-,D+,A-,1472.0,1.33658,,0.146651,3.59318717926157,
EDV.L,,2015-12-31 00:00:00+00:00,22.9428162302276,0.0,18.9361053530057,62.394073431223,D+,D+,D-,D+,B,1460.0,1.33658,,0.234607,3.57644020877164,
